ANDRIOD ID
Android ID
Android_ID
AndroidID
APPLE ID
COOKIE
GPS
INSTANCE ID
IP
SIM卡序列号
WiFi
WLAN
标识
步数
部门
财产
城市
程序包名
出生日期
单位
地点
地区
地址
电话
签名
邮件
邮箱
定位
短信
锻炼时长
锻炼心率
发票
肥胖水平
账号
个人敏感信息
个人特征
个人信息
个人资料
身份证
购物车
骨量
关注
偏好
广告ID
国籍
国家
过敏
呼吸率
呼吸频率
互动
户籍
户口本
护照
画像
机构代码
肌肤
肌肉含量
记录
家庭成员
家庭住址
剪切板
剪贴板
经度
居住地
军官证
卡号
开户人
开户行
口令
里程
历史
历史行为
联系地址
联系电话
联系方式
联系人
脸部图像
聊天
浏览
录像
录音
录制
麦克风
脉搏
慢性病史
密码
面部
面容
民族
名字
纳税人识别号
年龄
年龄段
偏好
评分
评价
评论
企业
区域
人脸
认证
任职
日程记录
日历
设备ID
设备标识符
设备参数
设备传感器
设备广告标识符
设备环境
设备环境信息
设备类别
设备类型
设备设置
设备识别号
设备唯一标识符
设备型号
设备序列号
设备序列码
设备硬件序列号
社会信用代码
社区
身份
身高
身体评分
身体指标
生活偏好
生日
生物识别
生物识别信息
生物特征
声纹
声音
省份
实名
收藏
地址
姓名
收款
收入
手机号
数字证书
税号
睡眠
特征
体内水分
体温
体型
体脂率
体脂指标
体重
通话
通话状态
通信记录
通讯记录
通讯录
统一社会信用代码
网关
网关地址
网卡
网络环境
网络相关信息
网络状态
网页活动
网页记录
微博昵称
微信昵称
微信账号
唯一设备标识符
纬度
位置
习惯
相册
相机
消费偏好
信用代码
信用卡
行车
行车轨迹
行车记录
行程
行驶里程
行业
行踪
兴趣爱好
姓名
性别
序列号
序列码
学历
学校
移动设备识别码
移动应用列表
银行
银行卡
银行卡号
银行卡余额
银行帐号
银行账号
银行账户信息
应用
应用版本
应用列表
应用状态
营业执照
营业执照信息
用户
邮编
邮件
邮箱
邮政编码
语音
阅读记录
阅读喜好
运动状态
帐号
账户
照片
身份
姓名
诊疗
证件
支付
职级
职位
职业
指纹
指纹信息
主营行业
住址
专业
咨询记录
资料
资质
宗教信仰
足迹
组织机构代码
组织名
组织认证
组织账号
